localita,dt,type,value
Arezzo,2013-01-28,max,6
Arezzo,2013-01-29,min,1
Arezzo,2013-01-29,max,13
Arezzo,2013-01-30,min,4
Arezzo,2013-01-30,max,11
Arezzo,2013-01-31,min,6
Arezzo,2013-01-31,max,15
Arezzo,2013-02-01,min,5
Arezzo,2013-02-01,max,14
Arezzo,2013-02-02,min,4
Arezzo,2013-02-02,max,13
Arezzo,2013-02-03,min,3
Arezzo,2013-02-03,max,8
Arezzo,2013-02-04,min,-1
Arezzo,2013-02-04,max,12
Arezzo,2013-02-05,min,1
Arezzo,2013-02-05,max,8
Arezzo,2013-02-06,min,4
Arezzo,2013-02-06,max,11
Arezzo,2013-02-07,min,2
Arezzo,2013-02-07,max,7
Arezzo,2013-02-08,min,1
Arezzo,2013-02-08,max,8
Arezzo,2013-02-09,min,-1
Arezzo,2013-02-09,max,6
Arezzo,2013-02-10,min,-3
Arezzo,2013-02-10,max,6
Arezzo,2013-02-11,min,-1
Arezzo,2013-02-11,max,6
Arezzo,2013-02-12,min,1
Arezzo,2013-02-12,max,9
