localita,dt,type,value
Andria,2012-11-03,max,21
Andria,2012-11-04,min,13
Andria,2012-11-04,max,22
Andria,2012-11-05,min,16
Andria,2012-11-05,max,24
Andria,2012-11-06,min,16
Andria,2012-11-06,max,23
Andria,2012-11-07,min,12
Andria,2012-11-07,max,17
Andria,2012-11-08,min,10
Andria,2012-11-08,max,17
Andria,2012-11-09,min,6
Andria,2012-11-09,max,18
Andria,2012-11-10,min,10
Andria,2012-11-10,max,19
Andria,2012-11-11,min,12
Andria,2012-11-11,max,22
Andria,2012-11-12,min,14
Andria,2012-11-12,max,24
Andria,2012-11-13,min,13
Andria,2012-11-13,max,21
Andria,2012-11-14,min,13
Andria,2012-11-14,max,21
Andria,2012-11-15,min,13
Andria,2012-11-15,max,15
Andria,2012-11-16,min,10
Andria,2012-11-16,max,16
Andria,2012-11-17,min,10
Andria,2012-11-17,max,17
Andria,2012-11-18,min,10
Andria,2012-11-18,max,17
Andria,2012-11-19,min,14
Andria,2012-11-19,max,16
Andria,2012-11-20,min,14
Andria,2012-11-20,max,16
Andria,2012-11-21,min,13
Andria,2012-11-21,max,17
Andria,2012-11-22,min,12
Andria,2012-11-22,max,18
Andria,2012-11-23,min,11
Andria,2012-11-23,max,18
Andria,2012-11-24,min,12
Andria,2012-11-24,max,18
Andria,2012-11-25,min,8
Andria,2012-11-25,max,18
Andria,2012-11-26,min,8
Andria,2012-11-26,max,17
Andria,2012-11-27,min,9
Andria,2012-11-27,max,16
Andria,2012-11-28,min,12
Andria,2012-11-28,max,21
Andria,2012-11-29,min,11
Andria,2012-11-29,max,15
Andria,2012-11-30,min,9
Andria,2012-11-30,max,15
Andria,2012-12-01,min,7
Andria,2012-12-01,max,15
Andria,2012-12-02,min,8
Andria,2012-12-02,max,14
Andria,2012-12-03,min,7
Andria,2012-12-03,max,10
Andria,2012-12-04,min,3
Andria,2012-12-04,max,14
Andria,2012-12-05,min,7
Andria,2012-12-05,max,12
Andria,2012-12-06,min,6
Andria,2012-12-06,max,8
Andria,2012-12-07,min,5
Andria,2012-12-07,max,10
Andria,2012-12-08,min,5
Andria,2012-12-08,max,11
Andria,2012-12-09,min,3
Andria,2012-12-09,max,7
Andria,2012-12-10,min,2
Andria,2012-12-10,max,11
Andria,2012-12-11,min,5
Andria,2012-12-11,max,8
Andria,2012-12-12,min,2
Andria,2012-12-12,max,6
Andria,2012-12-13,min,-1
Andria,2012-12-13,max,9
Andria,2012-12-14,min,6
Andria,2012-12-14,max,13
Andria,2012-12-15,min,9
Andria,2012-12-15,max,15
Andria,2012-12-16,min,10
Andria,2012-12-16,max,16
Andria,2012-12-17,min,9
Andria,2012-12-17,max,15
Andria,2012-12-18,min,8
Andria,2012-12-18,max,13
Andria,2012-12-19,min,7
Andria,2012-12-19,max,11
Andria,2012-12-20,min,6
Andria,2012-12-20,max,11
Andria,2012-12-21,min,5
Andria,2012-12-21,max,10
Andria,2012-12-22,min,5
Andria,2012-12-22,max,11
Andria,2012-12-23,min,3
Andria,2012-12-23,max,14
Andria,2012-12-24,min,5
Andria,2012-12-24,max,15
Andria,2012-12-25,min,8
Andria,2012-12-25,max,16
Andria,2012-12-26,min,11
Andria,2012-12-26,max,16
Andria,2012-12-27,min,10
Andria,2012-12-27,max,14
Andria,2012-12-28,min,7
Andria,2012-12-28,max,13
Andria,2012-12-29,min,6
Andria,2012-12-29,max,14
Andria,2012-12-30,min,3
Andria,2012-12-30,max,13
Andria,2012-12-31,min,4
Andria,2012-12-31,max,12
Andria,2013-01-01,min,3
Andria,2013-01-01,max,13
Andria,2013-01-02,min,5
Andria,2013-01-02,max,14
Andria,2013-01-03,min,5
Andria,2013-01-03,max,13
Andria,2013-01-04,min,7
Andria,2013-01-04,max,13
Andria,2013-01-05,min,8
Andria,2013-01-05,max,13
Andria,2013-01-06,min,8
Andria,2013-01-06,max,12
Andria,2013-01-07,min,8
Andria,2013-01-07,max,13
Andria,2013-01-08,min,5
Andria,2013-01-08,max,10
Andria,2013-01-09,min,2
Andria,2013-01-09,max,12
Andria,2013-01-10,min,5
Andria,2013-01-10,max,13
Andria,2013-01-11,min,5
Andria,2013-01-11,max,14
Andria,2013-01-12,min,6
Andria,2013-01-12,max,12
Andria,2013-01-13,min,5
Andria,2013-01-13,max,14
Andria,2013-01-14,min,9
Andria,2013-01-14,max,14
Andria,2013-01-15,min,7
Andria,2013-01-15,max,14
Andria,2013-01-16,min,5
Andria,2013-01-16,max,10
Andria,2013-01-17,min,6
Andria,2013-01-17,max,10
Andria,2013-01-18,min,4
Andria,2013-01-18,max,8
Andria,2013-01-19,min,2
Andria,2013-01-19,max,13
Andria,2013-01-20,min,11
Andria,2013-01-20,max,16
Andria,2013-01-21,min,10
Andria,2013-01-21,max,14
Andria,2013-01-22,min,8
